{'SensorId': 27, 'HomeId': 6, 'Timestamp': 1680683210, 'Volume': 12.27, 'Velocity': 5.91, 'Pressure': 55.61, 'pH': 7.58, 'Temperature': 89.24, 'DissolvedOxygen': 82.63, 'Turbidity': 33.77, 'Conductivity': 35.51, 'PollutionLevel': 90.08}
{'SensorId': 68, 'HomeId': 43, 'Timestamp': 1680683210, 'Volume': 24.5, 'Velocity': 3.58, 'Pressure': 29.18, 'pH': 9.44, 'Temperature': 68.11, 'DissolvedOxygen': 22.77, 'Turbidity': 79.36, 'Conductivity': 59.5, 'PollutionLevel': 2.15}
{'SensorId': 71, 'HomeId': 14, 'Timestamp': 1680683210, 'Volume': 63.81, 'Velocity': 8.03, 'Pressure': 59.97, 'pH': 13.64, 'Temperature': 62.43, 'DissolvedOxygen': 62.89, 'Turbidity': 93.16, 'Conductivity': 59.2, 'PollutionLevel': 8.53}
{'SensorId': 83, 'HomeId': 50, 'Timestamp': 1680683210, 'Volume': 70.48, 'Velocity': 3.46, 'Pressure': 78.37, 'pH': 3.45, 'Temperature': 0.5, 'DissolvedOxygen': 22.5, 'Turbidity': 92.5, 'Conductivity': 99.05, 'PollutionLevel': 25.17}
{'SensorId': 40, 'HomeId': 24, 'Timestamp': 1680683210, 'Volume': 99.22, 'Velocity': 0.14, 'Pressure': 32.32, 'pH': 1.07, 'Temperature': 10.71, 'DissolvedOxygen': 4.32, 'Turbidity': 63.5, 'Conductivity': 44.08, 'PollutionLevel': 72.74}
{'SensorId': 79, 'HomeId': 9, 'Timestamp': 1680683210, 'Volume': 22.93, 'Velocity': 5.37, 'Pressure': 48.23, 'pH': 7.58, 'Temperature': 93.77, 'DissolvedOxygen': 79.33, 'Turbidity': 88.1, 'Conductivity': 65.25, 'PollutionLevel': 74.6}
{'SensorId': 100, 'HomeId': 29, 'Timestamp': 1680683210, 'Volume': 31.65, 'Velocity': 4.6, 'Pressure': 41.06, 'pH': 0.51, 'Temperature': 65.15, 'DissolvedOxygen': 38.54, 'Turbidity': 98.11, 'Conductivity': 78.18, 'PollutionLevel': 36.33}
{'SensorId': 29, 'HomeId': 5, 'Timestamp': 1680683210, 'Volume': 54.49, 'Velocity': 0.09, 'Pressure': 91.73, 'pH': 1.3, 'Temperature': 68.29, 'DissolvedOxygen': 48.27, 'Turbidity': 62.1, 'Conductivity': 31.51, 'PollutionLevel': 42.65}
{'SensorId': 23, 'HomeId': 9, 'Timestamp': 1680683210, 'Volume': 30.83, 'Velocity': 3.96, 'Pressure': 55.35, 'pH': 9.75, 'Temperature': 84.54, 'DissolvedOxygen': 48.92, 'Turbidity': 36.92, 'Conductivity': 73.04, 'PollutionLevel': 26.02}
{'SensorId': 16, 'HomeId': 43, 'Timestamp': 1680683210, 'Volume': 53.97, 'Velocity': 4.49, 'Pressure': 13.12, 'pH': 8.45, 'Temperature': 51.11, 'DissolvedOxygen': 54.9, 'Turbidity': 83.32, 'Conductivity': 43.84, 'PollutionLevel': 77.1}
{'SensorId': 7, 'HomeId': 26, 'Timestamp': 1680683210, 'Volume': 99.45, 'Velocity': 4.81, 'Pressure': 55.92, 'pH': 5.78, 'Temperature': 48.73, 'DissolvedOxygen': 80.72, 'Turbidity': 6.27, 'Conductivity': 98.99, 'PollutionLevel': 98.86}
